INFO 2023-07-27 01:00:21,571 autoreload 14148 15736 Watching for file changes with StatReloader
INFO 2023-07-27 01:01:38,353 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:40,380 views 14148 13776 coin: ����
INFO 2023-07-27 01:01:40,381 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:41,516 views 14148 13776 coin: ����
INFO 2023-07-27 01:01:41,516 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:42,763 views 14148 13776 coin: �����
INFO 2023-07-27 01:01:42,764 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 01:01:44,003 views 14148 13776 coin: ����
INFO 2023-07-27 01:01:44,004 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:44,658 views 14148 13776 coin: ����
INFO 2023-07-27 01:01:44,659 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:45,147 views 14148 13776 coin: ����
INFO 2023-07-27 01:01:45,147 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:01:45,595 views 14148 13776 coin: �����
INFO 2023-07-27 01:01:45,595 basehttp 14148 13776 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 01:07:27,716 autoreload 14148 15736 D:\Documents\GB\python-django-seminar\seminars\seminars\settings.py changed, reloading.
INFO 2023-07-27 01:07:28,143 autoreload 8484 16184 Watching for file changes with StatReloader
INFO 2023-07-27 01:07:34,063 views 8484 1996 coin: решка
INFO 2023-07-27 01:07:34,063 basehttp 8484 1996 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 01:07:34,860 views 8484 1996 coin: орел
INFO 2023-07-27 01:07:34,861 basehttp 8484 1996 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-27 01:07:35,436 views 8484 1996 coin: решка
INFO 2023-07-27 01:07:35,437 basehttp 8484 1996 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 01:07:35,835 views 8484 1996 coin: решка
INFO 2023-07-27 01:07:35,836 basehttp 8484 1996 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 01:07:36,274 views 8484 1996 coin: решка
INFO 2023-07-27 01:07:36,274 basehttp 8484 1996 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-27 10:59:50,157 autoreload 11584 11896 Watching for file changes with StatReloader
WARNING 2023-07-27 10:59:54,290 log 11584 8928 Not Found: /
WARNING 2023-07-27 10:59:54,291 basehttp 11584 8928 "GET / HTTP/1.1" 404 2383
WARNING 2023-07-27 10:59:54,433 log 11584 8928 Not Found: /favicon.ico
WARNING 2023-07-27 10:59:54,441 basehttp 11584 8928 "GET /favicon.ico HTTP/1.1" 404 2434
INFO 2023-07-27 11:00:06,340 basehttp 11584 8928 "GET /homework1 HTTP/1.1" 301 0
INFO 2023-07-27 11:00:06,346 basehttp 11584 11104 "GET /homework1/ HTTP/1.1" 200 844
INFO 2023-07-27 11:00:14,172 basehttp 11584 11104 "GET /homework1/about HTTP/1.1" 301 0
INFO 2023-07-27 11:00:14,177 basehttp 11584 9256 "GET /homework1/about/ HTTP/1.1" 200 558
INFO 2023-07-27 11:01:05,996 autoreload 11584 11896 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:01:06,576 autoreload 10500 10328 Watching for file changes with StatReloader
INFO 2023-07-27 11:01:31,112 autoreload 10500 10328 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:01:31,653 autoreload 5924 9148 Watching for file changes with StatReloader
INFO 2023-07-27 11:01:36,200 basehttp 5924 8948 "GET /homework1/about/ HTTP/1.1" 200 558
INFO 2023-07-27 11:01:37,476 basehttp 5924 8948 "GET /homework1/about/ HTTP/1.1" 200 558
INFO 2023-07-27 11:01:41,856 basehttp 5924 8948 "GET /homework1/ HTTP/1.1" 200 890
INFO 2023-07-27 11:01:55,255 autoreload 5924 9148 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:01:55,885 autoreload 6900 8560 Watching for file changes with StatReloader
INFO 2023-07-27 11:02:00,165 basehttp 6900 13264 "GET /homework1/ HTTP/1.1" 200 891
INFO 2023-07-27 11:02:22,601 autoreload 6900 8560 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:02:23,187 autoreload 3536 3448 Watching for file changes with StatReloader
INFO 2023-07-27 11:02:46,664 autoreload 3536 3448 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:02:47,333 autoreload 3468 1540 Watching for file changes with StatReloader
INFO 2023-07-27 11:02:48,832 basehttp 3468 9456 "GET /homework1/ HTTP/1.1" 200 933
INFO 2023-07-27 11:02:52,612 basehttp 3468 9456 "GET /homework1/ HTTP/1.1" 200 933
INFO 2023-07-27 11:02:53,282 basehttp 3468 9456 "GET /homework1/ HTTP/1.1" 200 933
INFO 2023-07-27 11:02:53,908 basehttp 3468 9456 "GET /homework1/about/ HTTP/1.1" 200 558
INFO 2023-07-27 11:03:07,712 autoreload 3468 1540 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:03:08,407 autoreload 8756 5944 Watching for file changes with StatReloader
INFO 2023-07-27 11:03:26,666 autoreload 8756 5944 E:\123\python-django-seminar\seminars\homework1\views.py changed, reloading.
INFO 2023-07-27 11:03:27,252 autoreload 12196 5404 Watching for file changes with StatReloader
INFO 2023-07-27 11:03:38,794 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:40,053 basehttp 12196 7100 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:03:41,141 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:41,650 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:41,896 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:42,092 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:42,500 basehttp 12196 7100 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:03:42,948 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:03:43,372 basehttp 12196 7100 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:03:43,731 basehttp 12196 7100 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:20:18,228 autoreload 12616 12044 Watching for file changes with StatReloader
WARNING 2023-07-27 11:20:19,917 log 12616 6828 Not Found: /
WARNING 2023-07-27 11:20:19,918 basehttp 12616 6828 "GET / HTTP/1.1" 404 2383
INFO 2023-07-27 11:20:25,294 basehttp 12616 6828 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:20:25,908 basehttp 12616 6828 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:20:26,260 basehttp 12616 6828 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:20:27,019 basehttp 12616 6828 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:20:27,914 basehttp 12616 6828 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:20:28,277 basehttp 12616 6828 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:20:28,522 basehttp 12616 6828 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:20:28,845 basehttp 12616 6828 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:21:52,226 autoreload 12616 12044 E:\123\python-django-seminar\seminars\seminars\settings.py changed, reloading.
INFO 2023-07-27 11:21:52,862 autoreload 5888 8536 Watching for file changes with StatReloader
INFO 2023-07-27 11:22:00,207 views 5888 7688 Visited page home
INFO 2023-07-27 11:22:00,208 basehttp 5888 7688 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:22:00,909 views 5888 7688 Visited page about
INFO 2023-07-27 11:22:00,909 basehttp 5888 7688 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-27 11:22:01,444 views 5888 7688 Visited page home
INFO 2023-07-27 11:22:01,445 basehttp 5888 7688 "GET /homework1/ HTTP/1.1" 200 983
INFO 2023-07-27 11:22:01,846 views 5888 7688 Visited page about
INFO 2023-07-27 11:22:01,846 basehttp 5888 7688 "GET /homework1/about/ HTTP/1.1" 200 684
INFO 2023-07-28 23:31:19,831 autoreload 12784 8512 Watching for file changes with StatReloader
WARNING 2023-07-28 23:31:21,795 log 12784 8480 Not Found: /
WARNING 2023-07-28 23:31:21,795 basehttp 12784 8480 "GET / HTTP/1.1" 404 2383
WARNING 2023-07-28 23:31:21,830 log 12784 8480 Not Found: /favicon.ico
WARNING 2023-07-28 23:31:21,831 basehttp 12784 8480 "GET /favicon.ico HTTP/1.1" 404 2434
INFO 2023-07-28 23:31:41,574 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:41,575 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:44,223 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:44,224 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:44,862 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:44,863 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:45,295 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:45,295 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:45,736 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:45,736 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:46,174 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:46,175 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:46,598 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:46,599 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:46,909 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:46,909 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:47,133 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:47,133 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:47,333 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:47,334 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:47,718 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:47,718 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:47,992 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:47,992 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:48,261 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:48,261 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:48,557 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:48,558 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:48,964 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:48,965 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:49,157 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:49,157 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:49,339 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:49,339 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:49,685 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:49,685 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:49,957 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:49,957 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:50,260 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:50,261 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:50,476 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:50,476 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:50,676 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:50,677 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:50,996 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:50,997 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:51,204 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:51,204 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:51,524 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:51,524 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:51,756 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:51,756 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:52,003 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:52,003 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:52,436 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:52,437 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:31:52,644 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:52,644 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:52,859 views 12784 8480 coin: решка
INFO 2023-07-28 23:31:52,860 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:31:53,099 views 12784 8480 coin: орел
INFO 2023-07-28 23:31:53,099 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:15,251 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:15,252 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:15,481 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:15,481 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:15,779 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:15,779 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:16,633 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:16,634 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:17,104 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:17,105 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:17,496 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:17,497 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:17,977 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:17,977 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:18,423 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:18,424 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:18,847 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:18,848 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:19,232 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:19,232 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:19,936 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:19,936 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:20,230 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:20,231 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:20,512 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:20,512 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:20,792 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:20,792 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:21,062 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:21,063 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:21,335 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:21,335 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:21,653 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:21,654 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:21,910 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:21,910 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:22,118 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:22,119 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:22,319 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:22,320 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:22,536 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:22,537 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:22,822 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:22,822 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:23,022 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:23,022 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:32:23,206 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:23,206 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:23,397 views 12784 8480 coin: решка
INFO 2023-07-28 23:32:23,398 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:32:23,598 views 12784 8480 coin: орел
INFO 2023-07-28 23:32:23,598 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:33:02,286 views 12784 8480 coin: орел
INFO 2023-07-28 23:33:02,286 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:33:03,099 views 12784 8480 coin: решка
INFO 2023-07-28 23:33:03,100 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:33:04,173 views 12784 8480 coin: решка
INFO 2023-07-28 23:33:04,173 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:33:04,908 views 12784 8480 coin: решка
INFO 2023-07-28 23:33:04,909 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:33:25,051 views 12784 8480 coin: решка
INFO 2023-07-28 23:33:25,051 basehttp 12784 8480 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:01,021 autoreload 4548 13628 Watching for file changes with StatReloader
INFO 2023-07-28 23:42:06,517 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:06,518 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:07,185 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:07,185 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:07,688 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:07,689 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:08,025 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:08,025 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:08,306 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:08,306 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:08,639 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:08,639 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:08,871 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:08,872 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:09,104 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:09,104 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:09,633 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:09,634 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:09,848 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:09,848 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:10,049 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:10,049 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:10,287 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:10,287 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:10,728 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:10,728 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:12,910 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:12,911 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:13,862 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:13,863 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:14,237 views 4548 7556 coin: орел
INFO 2023-07-28 23:42:14,237 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:42:14,677 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:14,678 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:42:59,873 views 4548 7556 coin: решка
INFO 2023-07-28 23:42:59,874 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:03,338 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:03,338 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:05,832 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:05,832 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:08,039 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:08,039 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:10,014 views 4548 7556 coin: решка
INFO 2023-07-28 23:43:10,014 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:12,053 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:12,053 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:13,980 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:13,981 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:15,402 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:15,402 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:17,290 views 4548 7556 coin: решка
INFO 2023-07-28 23:43:17,291 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:19,465 views 4548 7556 coin: решка
INFO 2023-07-28 23:43:19,466 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:21,136 views 4548 7556 coin: решка
INFO 2023-07-28 23:43:21,137 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:22,679 views 4548 7556 coin: решка
INFO 2023-07-28 23:43:22,680 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 10
INFO 2023-07-28 23:43:25,774 views 4548 7556 coin: орел
INFO 2023-07-28 23:43:25,775 basehttp 4548 7556 "GET /task5/coin/ HTTP/1.1" 200 8
INFO 2023-07-28 23:43:27,581 views 4548 7556 coin: орел
